x,trafficload(x),trafficload(x)_CI/2,trafficload(x)_Var,trafficload(x)_NSamples
0.0,0.0,0.0,0.0,30
1.0,1.9,0.09465599033939505,0.09310344827586217,30
2.0,4.0,0.33589665586775225,1.1724137931034482,30
3.0,5.4,0.25241597423838696,0.6620689655172429,30
4.0,8.033333333333333,0.3687071297074362,1.4126436781609206,30
5.0,9.433333333333334,0.4512658701375277,2.1160919540229925,30
6.0,10.833333333333334,0.39979698787773943,1.6609195402298798,30
7.0,11.433333333333334,0.4438513589919836,2.0471264367816135,30
8.0,13.133333333333333,0.44422502373529826,2.0505747126436633,30
9.0,14.366666666666667,0.5901901058129273,3.6195402298850428,30
10.0,15.8,0.5241811387475748,2.8551724137931096,30
11.0,17.566666666666666,0.5625543964579062,3.288505747126441,30
12.0,18.366666666666667,0.49207179785910055,2.5160919540230053,30
13.0,19.0,0.4750296062839434,2.3448275862068964,30
14.0,20.7,0.5939267060118665,3.6655172413792854,30
15.0,22.333333333333332,0.6483319025700681,4.367816091954002,30
16.0,23.733333333333334,0.6411260847519711,4.271264367816033,30
17.0,24.566666666666666,0.7715020603964621,6.185057471264309,30
18.0,24.933333333333334,0.8580493187893748,7.650574712643619,30
19.0,26.333333333333332,0.7995939757554825,6.643678160919582,30
20.0,28.5,0.9279720648734151,8.948275862068966,30
21.0,29.916666666666668,0.7560519907138933,12.281073446327724,60
22.0,30.866666666666667,0.7968699453427602,13.64293785310736,60
23.0,31.583333333333332,0.7518666863256067,12.145480225988742,60
24.0,32.81666666666667,0.7635277272264465,12.525141242937796,60
25.0,34.916666666666664,0.8786307500859211,16.586158192090313,60
26.0,36.13333333333333,0.8477167964509873,15.439548022598887,60
27.0,37.0,0.8756703070947385,16.47457627118644,60
28.0,38.083333333333336,0.9016729652494855,17.467514124293704,60
29.0,39.666666666666664,0.9046209845857889,17.58192090395472,60
30.0,41.98888888888889,0.7726902679168636,19.449313358302042,90
31.0,43.455555555555556,0.8268855964169921,22.273283395755335,90
32.0,44.333333333333336,0.8209573244412823,21.95505617977528,90
33.0,45.03333333333333,0.7650440239481464,19.066292134831397,90
34.0,46.422222222222224,0.797072591767445,20.69612983770288,90
35.0,47.888888888888886,0.8581158834318091,23.987515605492987,90
36.0,49.3,0.887363878815523,25.650561797752744,90
37.0,50.3,0.9190599217027867,27.515730337078587,90
38.0,51.611111111111114,0.9202767399531613,27.588639200998607,90
39.0,52.78888888888889,0.9160693759975148,27.336953807740244,90
40.0,54.166666666666664,0.910311439572535,26.99438202247191,90
41.0,55.666666666666664,0.965743171071672,30.382022471910112,90
42.0,56.72222222222222,0.9686060768371272,30.562421972534406,90
43.0,57.483333333333334,0.8465675306513666,31.29383753501407,120
44.0,58.5,0.9249705763882818,27.870786516853933,90
45.0,59.733333333333334,0.9523643888947741,29.546067415730075,90
46.0,60.45,0.8501668407595823,31.56050420168077,120
47.0,62.27777777777778,0.9422524171737721,28.92197253433216,90
