x,waitingCars(x),waitingCars(x)_CI/2,waitingCars(x)_Var,waitingCars(x)_NSamples,trafficload(x),trafficload(x)_CI/2,trafficload(x)_Var,trafficload(x)_NSamples
0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30
1.0,1.9,0.09465599033939505,0.09310344827586217,30,1.9,0.09465599033939505,0.09310344827586217,30
2.0,3.066666666666667,0.30409461734109633,0.9609195402298853,30,4.066666666666666,0.30409461734109633,0.9609195402298853,30
3.0,3.7666666666666666,0.29013353038883855,0.8747126436781612,30,5.666666666666667,0.2618794613497018,0.7126436781609182,30
4.0,4.266666666666667,0.35448246734581196,1.305747126436782,30,8.333333333333334,0.261879461349701,0.7126436781609143,30
5.0,4.533333333333333,0.24075273955178825,0.6022988505747137,30,9.9,0.31917980812454616,1.0586206896551662,30
6.0,5.333333333333333,0.24888550702051854,0.6436781609195389,30,11.3,0.2720311597818088,0.7689655172413856,30
7.0,5.333333333333333,0.367354622941244,1.4022988505747114,30,11.766666666666667,0.43631086647834166,1.978160919540234,30
8.0,4.8,0.23611352363719976,0.5793103448275846,30,13.166666666666666,0.38283667297192947,1.5229885057471368,30
9.0,4.5,0.3527620481274177,1.293103448275862,30,14.6,0.43567660118228885,1.972413793103442,30
10.0,4.333333333333333,0.3292445782522563,1.126436781609194,30,15.9,0.4704669701578535,2.2999999999999936,30
11.0,5.1,0.22086397745858868,0.5068965517241395,30,17.266666666666666,0.45310054040904363,2.1333333333333373,30
12.0,5.5,0.26710711189231867,0.7413793103448276,30,18.1,0.5425353383890829,3.0586206896551973,30
13.0,5.066666666666666,0.34499414920201943,1.2367816091954025,30,18.766666666666666,0.5000988724788584,2.598850574712648,30
14.0,4.433333333333334,0.42863774394601734,1.9091954022988509,30,20.533333333333335,0.619005539981034,3.9816091954023154,30
15.0,4.3,0.5162071244943901,2.768965517241378,30,21.966666666666665,0.6439665579197191,4.309195402298867,30
16.0,5.333333333333333,0.2742584710610765,0.7816091954022976,30,23.866666666666667,0.6554585076348136,4.464367816091971,30
17.0,5.633333333333334,0.3862883131043378,1.5505747126436793,30,24.766666666666666,0.792716666000995,6.529885057471206,30
18.0,5.2,0.47781572757189344,2.372413793103447,30,25.166666666666668,0.8109265576563145,6.833333333333375,30
19.0,4.333333333333333,0.3391737740162931,1.1954022988505735,30,26.266666666666666,0.7853567427480468,6.409195402298792,30
20.0,4.7,0.582645019518926,3.52758620689655,30,28.166666666666668,0.9503502400559736,9.38505747126441,30
21.0,5.633333333333334,0.4112532441900526,1.7574712643678172,30,29.716666666666665,0.7249438547034067,11.291242937853124,60
22.0,5.3,0.34707196457778144,1.2517241379310329,30,30.516666666666666,0.7839196920122274,13.203107344632711,60
23.0,5.366666666666666,0.35024453479418843,1.274712643678162,30,31.433333333333334,0.7435049763072621,11.876836158192033,60
24.0,4.633333333333334,0.3862883131043378,1.5505747126436793,30,32.43333333333333,0.9933730280418321,10.254022988505689,30
25.0,4.333333333333333,0.5237589226994039,2.850574712643677,30,33.81666666666667,0.829870768695231,14.796327683615885,60
26.0,5.333333333333333,0.3762795180025787,1.4712643678160906,30,35.55,0.8354920440922826,14.997457627118743,60
27.0,5.433333333333334,0.25350916243805277,0.6678160919540232,30,36.68333333333333,0.8588343887620628,15.847175141243003,60
28.0,5.466666666666667,0.35260523013872724,1.2919540229885067,30,37.68333333333333,0.8486701279153028,15.4742937853108,60
29.0,5.3,0.4003499576964845,1.6655172413793087,30,38.95,0.8569339373689246,15.777118644067896,60
30.0,5.433333333333334,0.4047465200829816,1.702298850574713,30,40.2,0.9703689605010724,20.23050847457637,60
31.0,5.2,0.5366931894132831,2.9931034482758605,30,41.75555555555555,0.9268559272183339,27.984519350811382,90
32.0,5.166666666666667,0.3997969878777399,1.6609195402298838,30,42.87777777777778,0.9025402532587136,26.53545568039964,90
33.0,5.4,0.27746628154536684,0.8000000000000016,30,43.8,0.979270872031054,20.603389830508572,60
34.0,5.533333333333333,0.35260523013872724,1.2919540229885067,30,44.65,0.9817047464320409,20.705932203389732,60
35.0,4.8,0.34945409249838255,1.2689655172413778,30,45.72222222222222,0.9060493423887486,26.742197253433282,90
36.0,5.1,0.27446005761608633,0.7827586206896567,30,47.32222222222222,0.9451033529214188,29.09725343320863,90
37.0,5.166666666666667,0.382836672971928,1.522988505747125,30,48.65555555555556,0.9672281848880631,30.47553058676657,90
38.0,5.733333333333333,0.33523738799793185,1.1678160919540232,30,50.1,0.9654038155854673,30.360674157303436,90
39.0,5.766666666666667,0.30135414735463734,0.9436781609195405,30,51.17777777777778,0.9409886712313675,28.844444444444584,90
40.0,5.266666666666667,0.35448246734581196,1.305747126436782,30,52.3,0.9298797868595564,28.167415730337012,90
41.0,5.166666666666667,0.3464339641034313,1.247126436781608,30,53.733333333333334,0.9812618106912993,31.366292134831525,90
42.0,5.133333333333334,0.3797907559920764,1.4988505747126448,30,54.91111111111111,0.9972461800221234,32.39650436953819,90
43.0,6.166666666666667,0.4160665149468445,1.7988505747126462,30,56.016666666666666,0.8904418559183152,34.62156862745105,120
44.0,6.3,0.3919735092523825,1.5965517241379295,30,56.68888888888889,0.9948221365059445,32.23920099875168,90
45.0,6.133333333333334,0.3797907559920764,1.4988505747126448,30,57.46666666666667,0.9532332025669306,29.60000000000026,90
46.0,5.633333333333334,0.4270865769381446,1.8954022988505757,30,58.49166666666667,0.901826583781302,35.51253501400537,120
47.0,5.566666666666666,0.4208247365153125,1.8402298850574714,30,60.01111111111111,0.9954633504415169,32.280774032459675,90
48.0,6.2,0.26272287564708413,0.7172413793103433,30,61.05,0.8762516229898638,33.52689075630262,120
