x,trafficload(x),trafficload(x)_CI/2,trafficload(x)_Var,trafficload(x)_NSamples,waitingCars(x),waitingCars(x)_CI/2,waitingCars(x)_Var,waitingCars(x)_NSamples
40.0,53.483333333333334,0.8636717844511711,32.57114845938382,120,5.066666666666666,0.33523738799793185,1.1678160919540232,30
41.0,55.108333333333334,0.8936375236351394,34.87051820728298,120,5.1,0.3191798081245473,1.058620689655174,30
42.0,56.25,0.883338922981158,34.07142857142857,120,5.366666666666666,0.37760005848654943,1.4816091954022999,30
43.0,57.325,0.9105691733768957,36.20441176470598,120,5.8,0.41058027164917904,1.7517241379310329,30
44.0,57.48888888888889,0.983524457513772,31.511111111111358,90,6.066666666666666,0.36372335136408773,1.3747126436781572,30
45.0,58.71666666666667,0.8714800147528425,33.16274509803899,120,6.066666666666666,0.36372335136408773,1.3747126436781572,30
46.0,59.88333333333333,0.9575496541470139,40.03669467787092,120,5.833333333333333,0.3558838970175061,1.3160919540229872,30
47.0,61.375,0.8854741554004051,34.23634453781513,120,6.033333333333333,0.4270865769381446,1.8954022988505757,30
48.0,62.225,0.8978628599000584,35.20105042016797,120,6.133333333333334,0.2907048473787264,0.8781609195402309,30
49.0,63.575,0.8890746946913686,34.51533613445388,120,7.166666666666667,0.4468319276280626,2.0747126436781635,30
50.0,64.73333333333333,0.8408078673609063,30.86946778711491,120,8.1,0.39366305807126195,1.6103448275862084,30
51.0,66.15833333333333,0.8670105282224218,32.823459383753764,120,8.6,0.6289329516317151,4.110344827586201,30
52.0,67.175,0.835971120990972,30.51533613445339,120,9.0,0.6096424965741515,3.8620689655172415,30
53.0,68.425,0.8925313472686287,34.7842436974786,120,9.2,0.6486730401377802,4.372413793103455,30
54.0,69.93333333333334,0.8972776939788679,35.1551820728292,120,10.1,0.5425353383890801,3.058620689655166,30
55.0,70.75,0.8887688912750163,34.49159663865546,120,9.9,0.4561419260116437,2.162068965517235,30
56.0,71.75,0.8857322101635372,34.2563025210084,120,10.1,0.6005940060643689,3.7482758620689594,30
57.0,72.85,0.9064358039314169,35.876470588235684,120,10.466666666666667,0.5628492620655341,3.2919540229885067,30
58.0,74.36666666666666,0.8960328356747128,35.05770308123275,120,10.933333333333334,0.6812763829203186,4.822988505747131,30
59.0,75.30833333333334,0.9608826589444636,40.31589635854348,120,11.333333333333334,0.5893461058653758,3.6091954022988455,30
60.0,76.65833333333333,0.9012929259071071,35.47051820728318,120,11.766666666666667,0.49341871223401745,2.5298850574712684,30
61.0,77.76666666666667,0.9049661013675688,35.76022408963592,120,11.933333333333334,0.5698802679634168,3.374712643678165,30
62.0,78.99166666666666,0.9342152700245115,38.10917366946805,120,12.233333333333333,0.591313565152928,3.6333333333333373,30
63.0,80.56666666666666,0.9092093466414568,36.09635854341743,120,13.433333333333334,0.5799810505438667,3.495402298850579,30
64.0,81.55833333333334,0.9201632843535394,36.97135854341743,120,14.0,0.7982093964036873,6.620689655172414,30
65.0,82.55,0.9054161190932002,35.79579831932734,120,14.866666666666667,0.6081892346821914,3.8436781609195254,30
66.0,83.43333333333334,0.8718222355771809,33.18879551820735,120,14.866666666666667,0.39688125639910243,1.6367816091953877,30
67.0,84.64166666666667,0.8671880855410485,32.836904761904826,120,14.733333333333333,0.5756738455809898,3.4436781609195446,30
68.0,86.06666666666666,0.8908200003470865,34.65098039215693,120,15.766666666666667,0.6800575679727453,4.805747126436786,30
69.0,87.20833333333333,0.890855105613963,34.65371148459351,120,16.166666666666668,0.862485373005049,7.729885057471275,30
70.0,88.13333333333334,0.8986064975531434,35.25938375350166,120,16.433333333333334,0.7452478038641215,5.771264367816096,30
71.0,89.21666666666667,0.9124737444844208,36.356022408963845,120,16.8,0.8481952978172589,7.475862068965492,30
72.0,90.5,0.9528788407404218,39.64705882352941,120,17.366666666666667,0.8792514930349772,8.03333333333335,30
73.0,91.825,0.9125747999025952,36.36407563025171,120,18.366666666666667,0.7792058593244165,6.309195402298867,30
74.0,92.98333333333333,0.9243758055776858,37.310644257703146,120,19.466666666666665,0.7099622614439294,10.829378531073463,60
75.0,94.23333333333333,0.9328211443820569,37.995518207282,120,20.433333333333334,0.7153862652640276,10.995480225988704,60
76.0,95.28333333333333,0.9464311194264038,39.11232492997225,120,21.066666666666666,0.9428129914939397,9.236781609195406,30
77.0,96.11666666666666,0.9998273589283205,43.65014005602267,120,21.383333333333333,0.7453330202595003,11.935310734463293,60
78.0,97.45,0.9441237570861314,38.92184873949541,120,21.933333333333334,0.9533136456306496,9.443678160919545,30
79.0,98.85,0.9830300630648222,42.19579831932812,120,21.983333333333334,0.7666211021330747,12.626836158192095,60
80.0,100.075,0.9145760281847823,36.523739495797926,120,22.5,0.7133248412578407,10.932203389830509,60
81.0,101.3,0.9731823474669594,41.35462184873911,120,23.3,0.7153127452735686,10.993220338983026,60
82.0,102.26666666666667,0.9247400738502161,37.34005602240805,120,23.733333333333334,0.8591787781476671,15.85988700564966,60
83.0,102.89166666666667,0.9430929551845786,38.836904761903845,120,23.7,0.7359687779843135,11.637288135593195,60
84.0,104.325,0.8999395763132394,35.36407563025171,120,24.2,0.8011483840929721,13.789830508474552,60
85.0,105.44166666666666,0.8738204408217848,33.34110644257612,120,25.416666666666668,0.8641455898005751,16.043785310734503,60
86.0,106.40833333333333,0.9198913525148349,36.94950980392183,120,25.55,0.8259958892760991,14.658474576271162,60
87.0,107.4,0.9196620654637309,36.931092436975185,120,26.316666666666666,0.8715993073752261,16.32175141242932,60
88.0,108.35,0.9446943354809838,38.9689075630256,120,26.8,0.9254275161487943,18.399999999999974,60
89.0,109.28333333333333,0.9717145720900005,41.22997198879578,120,27.183333333333334,0.7552167853876116,12.253954802259829,60
90.0,110.49166666666666,0.9324626128718351,37.9663165266109,120,27.966666666666665,0.8261715327290436,22.23483146067409,90
91.0,111.30833333333334,0.8854161959196154,34.231862745097125,120,28.344444444444445,0.7997438401137686,20.835081148564324,90
92.0,112.50833333333334,0.895831456949682,35.04194677871175,120,23.333333333333332,0.9396956352877982,18.97175141242936,60
93.0,113.41666666666667,0.9296903026943929,37.74089635854407,120,23.8,0.9090865575006662,17.755932203389804,60
94.0,114.525,0.9371906873861082,38.35231092437014,120,23.6,0.8749492939571736,16.44745762711867,60
95.0,115.95833333333333,0.921124860099505,37.04866946778777,120,26.366666666666667,0.8581181164774216,23.987640449438217,90
