x,getSpeed(x),getSpeed(x)_CI/2,getSpeed(x)_Var,getSpeed(x)_NSamples
1.0,0.0,0.0,0.0,30
2.0,0.0,0.0,0.0,30
3.0,0.0,0.0,0.0,30
4.0,0.0,0.0,0.0,30
5.0,0.0,0.0,0.0,30
6.0,0.0,0.0,0.0,30
7.0,0.0,0.0,0.0,30
8.0,0.0,0.0,0.0,30
9.0,0.0,0.0,0.0,30
10.0,0.0,0.0,0.0,30
11.0,0.0,0.0,0.0,30
12.0,0.0,0.0,0.0,30
13.0,0.0,0.0,0.0,30
14.0,0.0,0.0,0.0,30
15.0,0.0,0.0,0.0,30
16.0,0.0,0.0,0.0,30
17.0,0.0,0.0,0.0,30
18.0,0.0,0.0,0.0,30
19.0,0.0,0.0,0.0,30
20.0,0.0,0.0,0.0,30
21.0,0.0,0.0,0.0,30
22.0,0.0,0.0,0.0,30
23.0,0.0,0.0,0.0,30
24.0,0.0,0.0,0.0,30
25.0,0.0,0.0,0.0,30
26.0,0.0,0.0,0.0,30
27.0,0.0,0.0,0.0,30
28.0,0.0,0.0,0.0,30
29.0,0.0,0.0,0.0,30
30.0,0.0,0.0,0.0,30
31.0,0.0,0.0,0.0,30
32.0,0.0,0.0,0.0,30
33.0,0.0,0.0,0.0,30
34.0,0.0,0.0,0.0,30
35.0,0.0,0.0,0.0,30
36.0,0.0,0.0,0.0,30
37.0,0.0,0.0,0.0,30
38.0,0.0,0.0,0.0,30
39.0,0.0,0.0,0.0,30
40.0,0.0,0.0,0.0,30
41.0,0.0,0.0,0.0,30
42.0,0.0,0.0,0.0,30
43.0,0.0,0.0,0.0,30
44.0,0.0,0.0,0.0,30
45.0,0.26666666666666666,0.16794928477360577,0.20229885057471267,30
46.0,0.6,0.2320552848265571,0.38620689655172413,30
47.0,1.1333333333333333,0.23480159680873766,0.39540229885057476,30
48.0,2.0,0.36691162156551593,0.9655172413793104,30
49.0,3.1333333333333333,0.3634004247986501,0.9471264367816082,30
50.0,4.133333333333334,0.49744546139622126,1.774712643678162,30
51.0,5.466666666666667,0.5695437348822352,2.3264367816091966,30
52.0,6.733333333333333,0.5627497295029245,2.271264367816088,30
53.0,7.866666666666666,0.7704728042074416,4.257471264367817,30
54.0,9.4,1.0266034680706657,7.558620689655166,30
55.0,10.8,1.145261430810628,9.406896551724143,30
56.0,12.533333333333333,1.2850639776376858,11.843678160919525,30
57.0,15.2,1.6302960238253577,19.06206896551725,30
58.0,17.933333333333334,1.8784127744699013,25.305747126436785,30
59.0,21.066666666666666,1.71237902929592,21.02988505747127,30
60.0,24.733333333333334,2.007104148770336,28.891954022988447,30
61.0,28.6,2.0560150618249047,30.31724137931037,30
62.0,32.2,2.1448307898336423,32.99310344827584,30
63.0,36.333333333333336,2.0878835703158094,31.26436781609187,30
64.0,40.666666666666664,2.204379803009019,34.85057471264359,30
65.0,45.46666666666667,2.1207848417929003,32.25747126436783,30
66.0,50.53333333333333,2.269717386737324,36.947126436781375,30
67.0,52.2,2.4815504658049026,44.16551724137941,30
68.0,55.53333333333333,2.34063268175451,39.29195402298827,30
69.0,59.13333333333333,2.393444715730239,41.085057471264136,30
70.0,62.86666666666667,2.252707024177312,36.39540229885034,30
71.0,65.93333333333334,2.4553201654547383,43.23678160919547,30
72.0,69.6,2.702650752436796,52.386206896552125,30
73.0,73.86666666666666,2.552859262822006,46.74022988505774,30
74.0,78.06666666666666,2.4514006394648566,43.09885057471271,30
75.0,81.46666666666667,2.3447373777498743,39.42988505747153,30
76.0,85.86666666666666,2.4372381549977464,42.60229885057498,30
77.0,89.4,2.243867813105295,36.11034482758661,30
78.0,94.2,2.406799605213717,41.544827586206495,30
79.0,98.13333333333334,2.097991479148256,31.567816091954292,30
80.0,102.6,2.2266599838794496,35.55862068965558,30
81.0,107.53333333333333,2.1433358215124514,32.94712643678188,30
82.0,112.6,2.4171651972773716,41.90344827586247,30
83.0,116.2,2.099518735286396,31.613793103447875,30
84.0,120.66666666666667,2.0318645541854106,29.60919540229952,30
85.0,125.66666666666667,2.0878835703158343,31.264367816092623,30
86.0,130.0,2.4020003988328122,41.37931034482759,30
87.0,135.06666666666666,2.185981663484472,34.27126436781716,30
88.0,140.26666666666668,2.2807060895542475,37.30574712643785,30
89.0,145.0,2.469119327054201,43.724137931034484,30
90.0,150.53333333333333,2.5490897191068305,46.60229885057498,30
91.0,156.13333333333333,2.861865847906586,58.74022988505774,30
92.0,160.46666666666667,2.5225451944447506,45.63678160919567,30
93.0,165.4,2.634181602503393,49.76551724137771,30
94.0,170.66666666666666,3.0150181847393167,65.19540229884923,30
95.0,175.66666666666666,3.0593435456627684,67.12643678160785,30
96.0,179.93333333333334,3.3411893660974354,80.06436781609302,30
97.0,183.86666666666667,3.260788652435345,76.25747126436808,30
98.0,188.8,3.1690630630790575,72.02758620689816,30
99.0,192.53333333333333,3.6974858690205785,98.05057471263993,30
100.0,194.4,3.537823968735664,89.76551724137771,30
101.0,196.26666666666668,3.4931469257678414,87.512643678162,30
102.0,196.66666666666666,3.3647063678464746,81.19540229885325,30
103.0,197.73333333333332,3.542351168357098,89.99540229885164,30
104.0,199.26666666666668,3.495898663394192,87.65057471264475,30
105.0,199.86666666666667,3.3937318018619975,82.60229885057096,30
106.0,200.33333333333334,3.221626914393993,74.43678160919808,30
107.0,201.26666666666668,3.349812299112073,80.4781609195413,30
108.0,201.46666666666667,3.3308123797551246,79.56781609195028,30
109.0,201.4,3.2487739875717656,75.69655172413633,30
110.0,201.66666666666666,2.9700313766405992,63.264367816094634,30
111.0,201.46666666666667,3.0536806144212503,66.87816091953648,30
112.0,201.06666666666666,2.8672368864406996,58.960919540230954,30
113.0,201.06666666666666,2.5887676228445082,48.064367816093025,30
114.0,200.33333333333334,2.5064835477602356,45.05747126437049,30
